RowNumber,CustomerId,Apellido,CreditScore,Pais,Genero,Edad,Estadia,Balance,Numero de productos,Tiene tarjeta de crédito,Activo,EstimatedSalary,Salida,Queja,Nivel satisfacción,Tipo de tarjeta,Puntos ganados
2.0,15647311,Hill,608,España,Mujer,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456
6.0,15574012,Chu,645,España,Hombre,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484
7.0,15592531,Bartlett,822,Francia,Hombre,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206
8.0,15656148,Obinna,376,Alemania,Mujer,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282
9.0,15792365,He,501,Francia,Hombre,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251
11.0,15767821,Bearce,528,Francia,Hombre,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264
12.0,15737173,Andrews,497,España,Hombre,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249
13.0,15632264,Kay,476,Francia,Mujer,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119
14.0,15691483,Chin,549,Francia,Mujer,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549
18.0,15788218,Henderson,549,España,Mujer,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544
20.0,15568982,Hao,726,Francia,Mujer,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477
21.0,15577657,McDonald,732,Francia,Hombre,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568
24.0,15725737,Mosman,669,Francia,Hombre,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665
25.0,15625047,Yen,846,Francia,Mujer,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225
27.0,15736816,Young,756,Alemania,Hombre,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236
28.0,15700772,Nebechi,571,Francia,Hombre,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448
29.0,15728693,McWilliams,574,Alemania,Mujer,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499
30.0,15656300,Lucciano,411,Francia,Hombre,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343
31.0,15589475,Azikiwe,591,España,Mujer,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298
33.0,15750181,Sanderson,553,Alemania,Hombre,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611
34.0,15659428,Maggard,520,España,Mujer,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922
35.0,15732963,Clements,722,España,Mujer,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276
36.0,15794171,Lombardo,475,Francia,Mujer,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877
37.0,15788448,Watson,490,España,Hombre,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471
42.0,15738148,Clarke,465,Francia,Mujer,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828
43.0,15687946,Osborne,556,Francia,Mujer,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789
45.0,15684171,Bianchi,660,España,Mujer,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884
47.0,15602280,Martin,829,Alemania,Mujer,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779
48.0,15771573,Okagbue,637,Alemania,Mujer,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730
49.0,15766205,Yin,550,Alemania,Hombre,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960
50.0,15771873,Buccho,776,Alemania,Mujer,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268
53.0,15683553,O'Brien,788,Francia,Mujer,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982
56.0,15760861,Phillipps,619,Francia,Hombre,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657
58.0,15647091,Endrizzi,725,Alemania,Hombre,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406
59.0,15623944,T'ien,511,España,Mujer,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549
60.0,15804771,Velazquez,614,Francia,Hombre,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954
61.0,15651280,Hunter,742,Alemania,Hombre,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823
62.0,15773469,Clark,687,Alemania,Mujer,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769
64.0,15751208,Pirozzi,684,España,Hombre,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903
65.0,15592461,Jackson,603,Alemania,Hombre,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882
68.0,15641582,Chibugo,735,Alemania,Hombre,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683
70.0,15755648,Pisano,675,Francia,Mujer,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985
71.0,15703793,Konovalova,738,Alemania,Hombre,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725
73.0,15812518,Palermo,657,España,Mujer,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979
75.0,15770811,Wallace,519,Francia,Hombre,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833
76.0,15780961,Cavenagh,735,Francia,Mujer,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527
78.0,15662085,Read,678,Francia,Mujer,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983
81.0,15706021,Buley,665,Francia,Mujer,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798
84.0,15701164,Onyeorulu,506,Francia,Mujer,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511
85.0,15738751,Beit,493,Francia,Mujer,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498
86.0,15805254,Ndukaku,652,España,Mujer,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651
90.0,15767954,Osborne,635,Alemania,Mujer,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
91.0,15757535,Heap,647,España,Mujer,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752
93.0,15809248,Cole,524,Francia,Mujer,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375
94.0,15640635,Capon,769,Francia,Hombre,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411
96.0,15699461,Fiorentini,515,España,Hombre,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231
97.0,15738721,Graham,773,España,Hombre,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488
98.0,15693683,Yuille,814,Alemania,Hombre,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965
99.0,15604348,Allard,710,España,Hombre,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289
100.0,15633059,Fanucci,413,Francia,Hombre,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449
101.0,15808582,Fu,665,Francia,Mujer,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651
102.0,15743192,Hung,623,Francia,Mujer,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520
103.0,15580146,Hung,738,Francia,Hombre,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234
104.0,15776605,Bradley,528,España,Hombre,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458
106.0,15613854,Mauldon,622,España,Mujer,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299
107.0,15599195,Stiger,582,Alemania,Hombre,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838
108.0,15812878,Parsons,785,Alemania,Mujer,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786
109.0,15602312,Walkom,605,España,Hombre,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509
110.0,15744689,T'ang,479,Alemania,Hombre,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328
114.0,15591100,Chiemela,675,España,Hombre,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749
116.0,15675522,Ko,628,Alemania,Mujer,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736
118.0,15698028,Duncan,506,Francia,Mujer,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594
120.0,15600781,Wu,699,Alemania,Hombre,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429
121.0,15682472,Culbreth,828,Francia,Hombre,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370
122.0,15580203,Kennedy,674,España,Hombre,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510
123.0,15690673,Cameron,656,Francia,Mujer,39,6,0.0,2,1,0,141069.88,0,0,4,DIAMOND,638
124.0,15760085,Calabresi,684,Alemania,Mujer,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462
126.0,15627360,Fuller,432,Francia,Hombre,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437
127.0,15671137,MacDonald,549,Francia,Mujer,52,1,0.0,1,0,1,8636.05,1,1,4,DIAMOND,485
